,small_i_count,all_caps_wordcount,sentence_wo_cap_at_start,sentence_lower_at_start,fullstop_wo_whitespace_count,a_an_error_count,cont_punct_count,quotation_count,emoticons_count,happy_emoticons_count,question_count,exclamation_count,sentiment_score_neg,sentiment_score_neu,sentiment_score_pos,he_she_ratio,swear_word_count
count,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0,2853.0
mean,0.004206098843322818,3.0767613038906414,12.999649491763057,1.2989835261128637,0.054679284963196635,0.1563266736768314,0.9155275148966001,14.551699964949176,0.0637924991237294,0.0385559060637925,4.792148615492464,4.080266386260077,0.30987831950187683,0.519672155380249,0.17044952511787415,3.55296732949135,1.6309148264984228
std,0.06472925275290571,10.272858568468601,9.163142670929892,2.472000786099118,0.6208932486411688,0.4384557496932123,2.3895402424961256,8.679820228083923,0.32453968110868026,0.2245135385867849,3.830184984537151,5.167618828918309,0.154641255736351,0.0988793820142746,0.1410607099533081,5.119226200406104,2.2573204361140955
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002983983140438795,0.06758555769920349,0.006994999013841152,0.037037037037037035,0.0
25%,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.19453635811805725,0.47294363379478455,0.08105762302875519,0.5909090909090909,0.0
50%,0.0,0.0,12.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,2.0,0.3111990988254547,0.5329824686050415,0.12289534509181976,1.375,1.0
75%,0.0,2.0,19.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,7.0,6.0,0.4093214273452759,0.5838712453842163,0.20319031178951263,4.0,2.0
max,1.0,126.0,65.0,42.0,12.0,3.0,47.0,51.0,4.0,3.0,25.0,31.0,0.8855457901954651,0.7894867658615112,0.9294304251670837,34.0,18.0
